Session Name,Session Script,Batch Number,Param Used,Number of Nodes,Run Number,Execution Time
session1,mp_async_example1_fedd_mean.py,11,2 id 0 mip,2,1,1.1414538000244647
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,1,1.1313889000448398
session1,mp_async_example1_fedd_mean.py,11,2 id 0 mip,2,2,1.1259775999933481
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,2,1.1301790000288747
session1,mp_async_example1_fedd_mean.py,11,2 id 0 mip,2,3,1.1295770999859087
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,3,1.130743000016082
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,4,1.1291282000020146
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,5,1.1250022000167519
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,6,1.1162211999762803
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,7,1.1250995000009425
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,8,1.2902504000230692
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,9,1.1599453000235371
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,10,1.1787434000289068
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,11,1.1348069999949075
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,12,1.129146099963691
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,13,1.118017399974633
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,14,1.157496200001333
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,15,1.1138162999995984
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,16,1.133089100010693
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,17,1.1526897000148892
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,18,1.1267842999659479
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,19,1.1482105000177398
session1,mp_async_example1_fedd_mean.py,12,2 id 0 mip,2,20,1.1191599000012502
